"date","clientName","templateUri","requests","status200","status300","status400","status429","status500"
"2020-02-02T00:00:00Z","Client Creds","api/v2/users/{userId}",16,16,0,0,0,0
"2020-02-02T00:00:00Z","Client Creds","api/v2/notifications/availabletopics",6,6,0,0,0,0
"2020-02-02T00:00:00Z","Client Creds","api/v2/notifications/channels/{channelId}/subscriptions",2,2,0,0,0,0
"2020-02-02T00:00:00Z","Client Creds","api/v2/users",5,5,0,0,0,0
"2020-02-02T00:00:00Z","Client Creds","api/v2/users/{userId}/presences/{sourceId}",4,4,0,0,0,0
"2020-02-02T00:00:00Z","Client Creds","api/v2/notifications/channels",2,2,0,0,0,0
"2020-02-02T00:00:00Z","Client Creds","api/v2/users/{userId}/profileskills",5,5,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/notifications/channels/{channelId}/subscriptions",2,2,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/notifications/availabletopics",6,6,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/notifications/channels",2,2,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/users/{userId}",16,16,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/users/{userId}/profileskills",5,5,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/users",5,5,0,0,0,0
"2020-02-04T00:00:00Z","Client Creds","api/v2/users/{userId}/presences/{sourceId}",4,4,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/users/{userId}/profileskills",3,3,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/users/{userId}/presences/{sourceId}",6,6,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/users/{userId}",9,9,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/notifications/channels/{channelId}/subscriptions",3,3,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/notifications/availabletopics",1,1,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/notifications/channels",3,3,0,0,0,0
"2020-02-05T00:00:00Z","Client Creds","api/v2/users",3,3,0,0,0,0
"2020-02-06T00:00:00Z","Client Creds","api/v2/authorization/permissions",2,2,0,0,0,0
"2020-02-06T00:00:00Z","Client Creds","api/v2/users/me",8,0,0,8,0,0
"2020-02-06T00:00:00Z","Client Creds","api/v2/notifications/channels/{channelId}/subscriptions",3,3,0,0,0,0
"2020-02-06T00:00:00Z","Client Creds","api/v2/users/{userId}",9,9,0,0,0,0
"2020-02-06T00:00:00Z","Client Creds","api/v2/users/{userId}/presences/{sourceId}",6,6,0,0,0,0
"2020-02-06T00:00:00Z","Client Creds","api/v2/notifications/channels",3,3,0,0,0,0
